region vector_x0 vector_x1 level color_level4
CP -13.533547 2.5210068 7 CNU
SSp-bfd -18.311684 -6.069184 9 CTX
SSp-m -17.271236 -5.103603 9 CTX
SSs -15.844231 -5.9032855 8 CTX
VPM 8.17477 -4.144828 9 TH
SSp-n -18.288454 -5.848967 9 CTX
VISp -5.352962 -17.469685 8 CTX
MOp -18.012146 -4.34438 8 CTX
SSp-ul -8.062584 -21.564651 9 CTX
VPL 7.558175 -4.5924754 9 TH
MOs -18.702997 -3.766853 8 CTX
GPe -12.709063 4.067715 7 CNU
AUDp -9.4679985 -12.833006 8 CTX
SNr -7.982626 4.343008 6 MB
RT 7.310758 -2.9009504 7 TH
SSp-un -8.795287 -17.10927 9 CTX
SSp-ll -7.3768506 -21.20357 9 CTX
LGd 1.0704755 -5.9248023 8 TH
SSp-tr -7.3514776 -18.332493 9 CTX
VISC -15.408996 -5.251994 7 CTX
AUDd -8.899276 -13.629671 8 CTX
AUDv -8.549763 -7.361265 8 CTX
PO 8.64261 -2.8193965 8 TH
MG -0.9465415 -1.9523776 8 TH
GU -16.286146 -4.602587 7 CTX
TEa -7.834742 -6.9588017 7 CTX
ZI -6.020228 3.2534697 7 HY
VISa -6.868467 -19.957554 8 CTX
RSPagl -8.817399 -19.103168 8 CTX
MRN 0.64600307 1.3050847 6 MB
VAL 8.560143 -6.0761704 8 TH
VISrl -6.127325 -20.06519 8 CTX
GPi -12.550812 4.5037355 7 CNU
PG 2.294275 12.267109 7 HB
VM 7.516557 -7.831542 8 TH
CLA -16.502672 -2.0064201 6 CTX
AId -17.960167 -2.7296515 8 CTX
VISpm -8.0075035 -19.687115 8 CTX
PF 7.0918336 0.8062273 8 TH
RSPd -8.81083 -19.845892 8 CTX
SCm 3.0283046 1.9065452 6 MB
APN 0.06298905 0.42315128 7 MB
TRN 2.9187376 12.614971 7 HB
SI -11.006277 1.3746215 7 CNU
VPMpc 9.010287 -8.51361 9 TH
AUDpo -9.488001 -13.795981 8 CTX
CEA -11.9389105 1.3007383 7 CNU
VISl -6.3146667 -17.822418 8 CTX
SNc -7.0558314 6.170311 6 MB
EPd -13.181688 -0.116101764 7 CTX
ORBl 11.146396 10.210768 8 CTX
ECT -7.399964 -6.2516346 7 CTX
VISpl -8.843828 -18.297865 8 CTX
LGv 0.8531963 -3.4714227 8 TH
AIp -15.021635 -4.3445945 8 CTX
ACAd -6.5192432 -14.482564 8 CTX
PRNr 3.3537917 8.129893 7 HB
VPLpc 8.602563 -9.052532 9 TH
STN -7.3289948 3.6532102 7 HY
PCN 10.218515 -5.1958065 8 TH
CA3 7.329941 6.5189137 9 CTX
VISpor -8.287287 -9.088928 8 CTX
IGL 0.8175444 -5.201601 8 TH
DG -0.42604563 -8.053261 8 CTX
PAG 2.195611 2.6889539 6 MB
MEA -10.723927 2.4884567 7 CNU
LP 2.2187295 -4.5800686 8 TH
SPVC 10.817639 20.405382 7 HB
PoT -2.5872464 0.36793083 8 TH
FS -11.637293 0.41065535 7 CNU
SPVI 11.991286 20.300037 7 HB
LA -7.0389977 -5.259096 6 CTX
ACAv -8.209031 -16.776108 8 CTX
VISal -6.0203834 -16.341654 8 CTX
ENTl -7.6741138 -9.514108 9 CTX
MD 10.906936 -4.891947 8 TH
GRN 9.684156 16.076506 7 HB
SPVO 12.273847 19.742493 7 HB
ACB -16.115953 2.4091136 7 CNU
IntG -0.19466805 -2.0842335 8 TH
PARN 10.851937 19.139082 7 HB
SPFp -3.396315 -0.18790796 8 TH
VISam -7.243849 -16.17007 8 CTX
AIv -15.765877 -0.7862636 8 CTX
LD 9.242984 0.3983607 8 TH
PERI -7.3763084 -8.8780575 7 CTX
SGN -1.1694299 -3.2311246 8 TH
VCO 14.023108 16.567347 8 HB
PIL -1.1018448 -4.8100643 8 TH
MARN 8.679344 14.909114 7 HB
RN 1.4957787 1.0505679 6 MB
IRN 10.300712 17.948475 7 HB
PRNc 10.767281 14.549249 7 HB
VTA -5.965669 5.554537 6 MB
VISli -5.117746 -13.948762 8 CTX
CL 8.308334 0.18378954 8 TH
POL -0.20059489 -0.53405094 8 TH
PL -4.240612 -13.401087 7 CTX
MDRNv 9.3861885 18.747276 8 HB
RSPv -3.218151 -13.835385 8 CTX
NTB 7.2953744 10.9517975 7 HB
MDRNd 9.649003 19.771702 8 HB
ILA -0.75637394 -13.733313 7 CTX
SMT 7.891122 -7.3553205 8 TH
VII 10.769725 16.157246 7 HB
LHA -9.111709 3.472938 7 HY
PP -1.0656476 -5.4740167 7 TH
LT -6.159202 0.88467336 6 MB
CA1 4.8696556 -1.1443019 9 CTX
AON -3.773193 -14.620606 7 CTX
FRP -2.7105498 -12.745869 7 CTX
IO 6.1307893 18.480486 7 HB
PB 7.385147 9.03954 7 HB
MA3 -3.5536106 0.68829936 6 MB
CM 11.15775 -6.1508465 8 TH
IG -2.2250066 3.8230207 8 CTX
ENTm -6.58478 -8.958745 9 CTX
PSV 5.7519846 15.236723 7 HB
PPY 7.398891 11.617062 7 HB
NLL 6.6459737 8.237664 7 HB
RM 7.628598 14.293173 7 HB
ORBvl -1.7168665 -13.371533 8 CTX
SOC 6.242692 9.574723 7 HB
NTS 9.218479 20.433191 7 HB
ORBm -1.9205881 -12.408726 8 CTX
