,Soma_region,Cortical_layer,Transgenic_line,Brain_id,Subclass_or_type,Celltype,final_celltype
17109_1701_x8048_y22277,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_AId,Car3_AId
17109_1801_x6698_y12550,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_AId,Car3_AId
17109_1901_x9602_y10508,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_AId,Car3_AId
17109_2201_x8046_y23301,MOs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_MO,Car3_MO
17109_2301_x8535_y23051,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_AId,Car3_AId
17109_2301_x9418_y23665,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_AId,Car3_AId
17109_2401_x8977_y24184,MOp,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_MO,Car3_MO
17109_2401_x9338_y2394,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_AId,Car3_AId
17109_2401_x9695_y9693,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,CLA,CLA
17109_2401_x9954_y9122,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_AId,Car3_AId
17109_2500_x9864_y9311,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,CLA,CLA
17109_2601_x10213_y8783,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,CLA,CLA
17109_2601_x9296_y24691,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,CLA,CLA
17109_2601_x9498_y8169,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_AId,Car3_AId
17109_3101_x10824_y7188,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,CLA,CLA
17109_3701_x9228_y26684,SSs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_SSs,Car3_SS
17109_4101_x6753_y6197,SSs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_SSs,Car3_SS
17109_4764_x6621_y5727,SSs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_SSs,Car3_SS
17109_4772_x9038_y27257,SSs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_SSs,Car3_SS
17109_6201_x4328_y6753,VISp,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_VIS,Car3_VIS
17109_6301_x4756_y24516,VISrl,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_VIS,Car3_VIS
17109_6401_x7641_y3978,AUDv,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_AUD,Car3_AUD
17109_6401_x7989_y3767,AUDv,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_AUD,Car3_AUD
17109_6501_x6997_y4287,AUDpo,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_AUD,Car3_AUD
17109_6601_x4384_y7436,VISal,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_VIS,Car3_VIS
17109_6601_x5417_y25287,VISal,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_VIS,Car3_VIS
17109_6801_x7432_y4405,TEa,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_TEa,Car3_TEa
17109_6901_x7203_y26714,TEa,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_TEa,Car3_TEa
17109_7001_x5738_y6470,VISl,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_VIS,Car3_VIS
17109_7001_x6205_y5194,TEa,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,Car3_TEa,Car3_TEa
17300_3426_x20339_y44872,SSs,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT,IT_SSs,IT_SS
17300_3514_x19676_y45282,SSs,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT,IT_SSs,IT_SS
17300_5571_x27063_y39610,VISa,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT,IT_VIS,IT_VIS
17300_5896_x24862_y27320,RSPv,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT,IT_RSP,IT_RSP
17300_5969_x27278_y20820,VISp,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT,IT_VIS,IT_VIS
17300_6010_x23413_y13446,VISal,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT,IT_VIS,IT_VIS
17302_00001,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,CP_SNr,CP_SNr
17302_00002,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,CP_SNr,CP_SNr
17302_00003,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,CP_SNr,CP_SNr
17302_00005,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,CP_SNr,CP_SNr
17302_00006,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,CP_SNr,CP_SNr
17302_00007,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,CP_SNr,CP_SNr
17302_00009,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,CP_SNr,CP_SNr
17302_00010,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,CP_SNr,CP_SNr
17302_00011,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,CP_SNr,CP_SNr
17302_00013,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,CP_others,CP_others
17302_00014,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,CP_others,CP_others
17302_00015,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,CP_others,CP_others
17302_00016,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,CP_GPe,CP_GPe
17302_00017,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,CP_GPe,CP_GPe
17302_00018,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,CP_GPe,CP_GPe
17302_00020,VPL,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,VPL,VPL
17302_00021,VPL,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,VPL,VPL
17302_00023,AM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,AM,AM
17302_00024,PVT,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_matrix,PVT,PVT
17302_00025,MD,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_matrix,MD,MD
